,team,matches played,wins,draws,losses
0,Bayern,6,6,0,0
1,Tottenham,6,3,1,2
2,Paris,6,5,1,0
3,Man. City,6,4,2,0
4,Salzburg,6,2,1,3
5,Real Madrid,6,3,2,1
6,Liverpool,6,4,1,1
7,Juventus,6,5,1,0
8,Ajax,6,3,1,2
9,Napoli,6,3,3,0
10,Chelsea,6,3,2,1
11,Leipzig,6,3,2,1
12,Internazionale,6,2,1,3
13,Benfica,6,2,1,3
14,Dinamo Zagreb,6,1,2,3
15,Barcelona,6,4,2,0
16,Valencia,6,3,2,1
17,Lyon,6,2,2,2
18,Atlético,6,3,1,2
19,Dortmund,6,3,1,2
20,Atalanta,6,2,1,3
21,Shakhtar Donetsk,6,1,3,2
22,Olympiacos,6,1,1,4
23,Zenit,6,2,1,3
24,Genk,6,0,1,5
25,Leverkusen,6,2,0,4
26,Lokomotiv Moskva,6,1,0,5
27,Club Brugge,6,0,3,3
28,Slavia Praha,6,0,2,4
29,LOSC,6,0,1,5
30,Crvena zvezda,6,1,0,5
31,Galatasaray,6,0,2,4
